Objra,Objdec,mangaid,plateifu
83.29268,11.146621,  7-26943593 ,   8884-6102 
131.09903,12.404821, 3-137026230 ,   8975-9101 
255.24015,10.755783,  7-14269767 ,   9679-1901 
322.451923884,-0.313554702629,    1-180163 ,   7968-1901 
179.09264,19.70984,   7-8284863 ,   9018-6102 
156.45947,16.04902,     4-13520 ,   8120-3703 
161.2382,38.777448, 3-135037860 ,   9516-6104 
93.374671,-6.0189579, 3-145894774 ,   8908-6101 
260.12316,56.532262,  7-14688136 ,  9071-12702 
83.167682,12.233352,  7-26867121 ,  8886-12704 
320.24506,31.243924,  3-62319881 ,   8664-3701 
255.895283788,36.4015364012,    1-634477 ,   7957-1901 
206.29537,-0.49258104, 3-113005845 ,  9684-12705 
142.412,47.302385, 3-149189710 ,   9534-6101 
221.62202,-7.4099642, 3-115541542 ,   9015-3701 
253.93796,10.363872,  7-13583428 ,   9859-6101 
115.2927,4.8282907, 3-141700055 ,  9532-12703 
143.33912,54.932508, 3-151800806 ,   9540-6103 
323.02613,13.348267,  7-20654411 ,   9305-9102 
213.813097542,47.8733435601,    1-320681 ,   8326-1901 
287.73084,42.454286,  7-17187070 ,   9079-1902 
59.213322,25.26786,  3-42204324 ,  8780-12705 
153.92384006,45.367076756,    1-167403 ,   8454-9101 
242.34365,24.822869,  7-12888620 ,   8970-9101 
294.52834,49.101369,  7-17865148 ,   9021-6102 
208.32975,32.321278, 3-137764272 ,  9730-12702 
297.40691,47.349733,  7-18205795 ,   9022-9101 
205.1635,0.169612,  7-10276904 ,   9685-6102 
191.99966,10.853374, 3-112694611 ,   8918-9102 
278.35909,2.8503179,  3-46893878 ,   9120-3704 
140.80389,46.971633, 3-149567824 ,   9670-9101 
120.547357773,51.7348775206,    1-379124 ,   8715-3703 
70.20044,32.72501,     27-1379 ,   8043-6102 
236.02959,47.29463,    1-633225 ,  8486-12703 
16.334106,3.405486,   7-6822519 ,   8661-1901 
53.93485,0.83642046,  3-90367739 ,  9520-12704 
349.8332,52.510342,  3-66198060 ,  9303-12704 
230.34232,66.76148,     4-16537 ,   8112-1902 
127.96917,0.19404,   7-4481201 ,   8795-1901 
314.60971,0.18089,    1-179247 ,  7964-12701 
55.26456,62.58833,      27-942 ,   8039-3704 
284.96111,16.450503,  3-32563140 ,   9004-3704 
81.453059,12.383785,  7-26960629 ,  8886-12703 
137.983505636,27.8992697013,    1-386695 ,   8987-9102 
110.8348,1.695612,   7-2432857 ,  9529-12702 
91.98706,45.1252,      4-1259 ,   8101-1901 
11.762521,41.249744,       52-15 ,   9677-3703 
222.848380537,51.4761226141,    1-246442 ,  8592-12701 
350.54762,52.480554,  3-67292255 ,   9303-6102 
226.35013,21.028399, 3-141669941 ,   8915-3703 
94.42431,45.26036,       4-926 ,   8102-3703 
301.24424,45.309756,  3-16634559 ,   9128-6104 
153.231920862,46.4177099017,    1-167380 ,   8453-3701 
298.40131,18.825245,  7-18585696 ,  9975-12702 
121.352443699,47.744077647,     1-44865 ,   8719-3702 
83.631845,1.006898,  3-47420245 ,  9473-12703 
138.90946,21.480058, 3-138759125 ,   8926-3704 
119.643311577,41.578406654,     1-44047 ,   8143-1902 
285.23219,32.173595,  7-16841273 ,  9122-12701 
62.487226,24.652533,  3-38180051 ,   8779-3702 
59.922324,36.073083,  3-24640798 ,  8665-12704 
281.96223,43.495179,  7-16585965 ,   8673-9102 
288.204,-2.9528522,  7-17201655 ,   9976-3701 
